
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1356
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1433           0.0.0.0:0              LISTENING       6328
  TCP    0.0.0.0:1522           0.0.0.0:0              LISTENING       35104
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING       2936
  TCP    0.0.0.0:2701           0.0.0.0:0              LISTENING       11408
  TCP    0.0.0.0:3344           0.0.0.0:0              LISTENING       5764
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       1548
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       11140
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:7070           0.0.0.0:0              LISTENING       4488
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       10700
  TCP    0.0.0.0:44300          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:44343          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:44398          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:44399          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:44416          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:49152          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:49153          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:49154          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1032
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1008
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1900
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2748
  TCP    0.0.0.0:49671          0.0.0.0:0              LISTENING       3840
  TCP    0.0.0.0:49673          0.0.0.0:0              LISTENING       5032
  TCP    0.0.0.0:49674          0.0.0.0:0              LISTENING       1032
  TCP    0.0.0.0:51000          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:51266          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:51308          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:52000          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:58390          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:58411          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:58883          0.0.0.0:0              LISTENING       888
  TCP    0.0.0.0:65107          0.0.0.0:0              LISTENING       4648
  TCP    10.51.4.206:139        0.0.0.0:0              LISTENING       4
  TCP    10.51.4.206:7680       10.51.4.62:54300       TIME_WAIT       0
  TCP    10.51.4.206:7680       10.51.4.232:50125      TIME_WAIT       0
  TCP    10.51.4.206:53108      10.225.51.87:443       ESTABLISHED     18948
  TCP    10.51.4.206:55104      10.225.51.105:16001    ESTABLISHED     21116
  TCP    10.51.4.206:55399      10.225.51.87:443       ESTABLISHED     18948
  TCP    10.51.4.206:55880      10.225.21.11:443       ESTABLISHED     15712
  TCP    10.51.4.206:56030      10.225.21.11:443       ESTABLISHED     15712
  TCP    10.51.4.206:56082      142.251.208.164:443    TIME_WAIT       0
  TCP    10.51.4.206:56287      10.51.4.210:7680       TIME_WAIT       0
  TCP    10.51.4.206:56331      10.51.4.113:7680       TIME_WAIT       0
  TCP    10.51.4.206:56386      10.51.4.110:7680       TIME_WAIT       0
  TCP    10.51.4.206:56395      35.201.66.137:443      ESTABLISHED     18948
  TCP    10.51.4.206:56396      35.201.66.137:443      ESTABLISHED     18948
  TCP    10.51.4.206:56434      142.250.201.195:443    ESTABLISHED     18948
  TCP    10.51.4.206:56445      10.51.4.65:7680        TIME_WAIT       0
  TCP    10.51.4.206:56498      10.51.4.252:7680       TIME_WAIT       0
  TCP    10.51.4.206:56578      52.168.117.171:443     ESTABLISHED     13732
  TCP    10.51.4.206:56599      10.51.4.10:7680        TIME_WAIT       0
  TCP    10.51.4.206:56626      144.2.14.25:443        CLOSE_WAIT      14844
  TCP    10.51.4.206:56725      95.101.23.90:443       CLOSE_WAIT      14844
  TCP    10.51.4.206:56847      10.225.11.18:13111     TIME_WAIT       0
  TCP    10.51.4.206:56850      13.107.213.254:443     CLOSE_WAIT      14844
  TCP    10.51.4.206:56852      13.107.253.45:443      CLOSE_WAIT      14844
  TCP    10.51.4.206:56927      10.225.51.105:16001    ESTABLISHED     19660
  TCP    10.51.4.206:56934      142.251.39.67:443      ESTABLISHED     18948
  TCP    10.51.4.206:56940      35.190.88.7:443        TIME_WAIT       0
  TCP    10.51.4.206:56952      35.190.88.7:443        ESTABLISHED     35104
  TCP    10.51.4.206:56996      142.251.39.10:443      ESTABLISHED     31736
  TCP    10.51.4.206:57020      10.225.21.11:443       TIME_WAIT       0
  TCP    10.51.4.206:57052      142.251.208.163:443    ESTABLISHED     31736
  TCP    10.51.4.206:57074      10.225.20.2:53         TIME_WAIT       0
